Timestamp,Condition,Pipeline,Latency_ms,Peak_RAM_KB,EAR,MAR,PERCLOS,DL_Prob,System_Alert,Ground_Truth_Fatigue
10:54:58,Baseline,Heuristic,0.23,10.9,0.241,0.002,0.0,,False,False
10:54:58,Baseline,DL_quant,1.04,352.36,,,,0.176,False,False
10:54:59,Baseline,Heuristic,0.18,1.01,0.254,0.002,0.0,,False,False
10:54:59,Baseline,DL_quant,1.02,351.81,,,,0.031,False,False
10:54:59,Baseline,Heuristic,0.15,1.01,0.251,0.002,0.0,,False,False
10:54:59,Baseline,DL_quant,1.22,351.81,,,,0.996,True,False
10:54:59,Baseline,Heuristic,0.17,1.01,0.246,0.003,0.0,,False,False
10:54:59,Baseline,DL_quant,1.04,351.81,,,,0.996,True,False
10:54:59,Baseline,Heuristic,0.11,1.01,0.239,0.003,0.0,,False,False
10:54:59,Baseline,DL_quant,0.81,351.81,,,,0.996,True,False
10:54:59,Baseline,Heuristic,0.1,1.01,0.233,0.003,0.0,,False,False
10:54:59,Baseline,DL_quant,0.79,351.81,,,,0.996,True,False
10:54:59,Baseline,Heuristic,0.1,1.01,0.228,0.003,0.0,,False,False
10:54:59,Baseline,DL_quant,0.77,351.81,,,,0.996,True,False
10:54:59,Baseline,Heuristic,0.1,1.01,0.225,0.004,0.0,,False,False
10:54:59,Baseline,DL_quant,0.85,351.81,,,,0.129,False,False
10:54:59,Baseline,Heuristic,0.1,1.01,0.223,0.004,0.0,,False,False
10:54:59,Baseline,DL_quant,0.8,351.81,,,,0.074,False,False
10:54:59,Baseline,Heuristic,0.1,1.01,0.223,0.004,0.0,,False,False
10:54:59,Baseline,DL_quant,0.79,351.81,,,,0.023,False,False
10:54:59,Baseline,Heuristic,0.09,1.01,0.223,0.004,0.0,,False,False
10:54:59,Baseline,DL_quant,0.76,351.81,,,,0.02,False,False
10:54:59,Baseline,Heuristic,0.12,1.01,0.223,0.004,0.0,,False,False
10:54:59,Baseline,DL_quant,0.96,351.81,,,,0.008,False,False
10:54:59,Baseline,Heuristic,0.1,1.01,0.225,0.004,0.0,,False,False
10:54:59,Baseline,DL_quant,0.75,351.81,,,,0.008,False,False
10:54:59,Baseline,Heuristic,0.14,1.01,0.226,0.004,0.0,,False,False
10:54:59,Baseline,DL_quant,0.89,351.81,,,,0.031,False,False
10:54:59,Baseline,Heuristic,0.13,1.01,0.228,0.004,0.0,,False,False
10:54:59,Baseline,DL_quant,0.9,351.81,,,,0.016,False,False
10:54:59,Baseline,Heuristic,0.14,1.01,0.229,0.004,0.0,,False,False
10:54:59,Baseline,DL_quant,1.05,351.81,,,,0.012,False,False
10:54:59,Baseline,Heuristic,0.12,1.01,0.231,0.004,0.0,,False,False
10:54:59,Baseline,DL_quant,0.78,351.81,,,,0.035,False,False
10:54:59,Baseline,Heuristic,0.11,1.01,0.234,0.004,0.0,,False,False
10:54:59,Baseline,DL_quant,0.9,351.81,,,,0.035,False,False
10:54:59,Baseline,Heuristic,0.1,1.01,0.236,0.004,0.0,,False,False
10:54:59,Baseline,DL_quant,0.74,351.81,,,,0.004,False,False
10:54:59,Baseline,Heuristic,0.16,1.01,0.238,0.004,0.0,,False,False
10:54:59,Baseline,DL_quant,0.88,351.81,,,,0.004,False,False
10:54:59,Baseline,Heuristic,0.1,1.01,0.24,0.004,0.0,,False,False
10:54:59,Baseline,DL_quant,0.79,351.81,,,,0.0,False,False
10:54:59,Baseline,Heuristic,0.1,1.01,0.242,0.004,0.0,,False,False
10:54:59,Baseline,DL_quant,0.77,351.81,,,,0.004,False,False
10:54:59,Baseline,Heuristic,0.12,1.01,0.244,0.004,0.0,,False,False
10:54:59,Baseline,DL_quant,0.78,351.81,,,,0.09,False,False
10:54:59,Baseline,Heuristic,0.1,1.01,0.246,0.004,0.0,,False,False
10:54:59,Baseline,DL_quant,0.88,351.81,,,,0.98,True,False
10:54:59,Baseline,Heuristic,0.11,1.01,0.248,0.004,0.0,,False,False
10:54:59,Baseline,DL_quant,0.88,351.81,,,,0.969,True,False
10:54:59,Baseline,Heuristic,0.1,1.01,0.248,0.004,0.0,,False,False
10:54:59,Baseline,DL_quant,0.8,351.81,,,,0.996,True,False
10:54:59,Baseline,Heuristic,0.11,1.01,0.249,0.004,0.0,,False,False
10:54:59,Baseline,DL_quant,0.9,351.81,,,,0.996,True,False
10:54:59,Baseline,Heuristic,0.1,1.01,0.248,0.004,0.0,,False,False
10:54:59,Baseline,DL_quant,0.78,351.81,,,,0.852,True,False
10:54:59,Baseline,Heuristic,0.1,1.01,0.248,0.004,0.0,,False,False
10:54:59,Baseline,DL_quant,0.75,351.81,,,,0.852,True,False
10:54:59,Baseline,Heuristic,0.1,1.01,0.246,0.004,0.0,,False,False
10:54:59,Baseline,DL_quant,0.93,351.81,,,,0.984,True,False
10:54:59,Baseline,Heuristic,0.12,1.01,0.245,0.004,0.0,,False,False
10:54:59,Baseline,DL_quant,1.14,351.81,,,,0.984,True,False
10:54:59,Baseline,Heuristic,0.16,1.01,0.244,0.004,0.0,,False,False
10:54:59,Baseline,DL_quant,1.17,351.81,,,,0.965,True,False
10:55:00,Baseline,Heuristic,0.11,1.27,0.242,0.004,0.0,,False,False
10:55:00,Baseline,DL_quant,0.8,351.81,,,,0.969,True,False
10:55:00,Baseline,Heuristic,0.1,1.01,0.24,0.004,0.0,,False,False
10:55:00,Baseline,DL_quant,0.77,351.81,,,,0.996,True,False
10:55:00,Baseline,Heuristic,0.1,1.01,0.239,0.004,0.0,,False,False
10:55:00,Baseline,DL_quant,0.77,351.81,,,,0.996,True,False
10:55:00,Baseline,Heuristic,0.1,1.01,0.237,0.004,0.0,,False,False
10:55:00,Baseline,DL_quant,0.88,351.81,,,,0.996,True,False
10:55:00,Baseline,Heuristic,0.12,1.01,0.235,0.004,0.0,,False,False
10:55:00,Baseline,DL_quant,0.84,351.81,,,,0.852,True,False
10:55:00,Baseline,Heuristic,0.11,1.01,0.234,0.004,0.0,,False,False
10:55:00,Baseline,DL_quant,0.8,351.81,,,,0.852,True,False
10:55:00,Baseline,Heuristic,0.1,1.01,0.233,0.004,0.0,,False,False
10:55:00,Baseline,DL_quant,0.78,351.81,,,,0.988,True,False
10:55:00,Baseline,Heuristic,0.1,1.01,0.232,0.004,0.0,,False,False
10:55:00,Baseline,DL_quant,0.78,351.81,,,,0.992,True,False
10:55:00,Baseline,Heuristic,0.1,1.01,0.231,0.004,0.0,,False,False
10:55:00,Baseline,DL_quant,0.8,351.81,,,,0.238,False,False
10:55:00,Baseline,Heuristic,0.17,1.01,0.231,0.004,0.0,,False,False
10:55:00,Baseline,DL_quant,1.02,351.81,,,,0.277,False,False
10:55:00,Baseline,Heuristic,0.1,1.01,0.231,0.004,0.0,,False,False
10:55:00,Baseline,DL_quant,0.82,351.81,,,,0.359,False,False
10:55:00,Baseline,Heuristic,0.11,1.01,0.231,0.004,0.0,,False,False
10:55:00,Baseline,DL_quant,0.85,351.81,,,,0.594,False,False
10:55:00,Baseline,Heuristic,0.12,1.01,0.231,0.004,0.0,,False,False
10:55:00,Baseline,DL_quant,0.94,351.81,,,,0.988,True,False
10:55:00,Baseline,Heuristic,0.1,1.01,0.231,0.004,0.0,,False,False
10:55:00,Baseline,DL_quant,0.9,351.81,,,,0.996,True,False
10:55:00,Baseline,Heuristic,0.13,1.01,0.231,0.004,0.0,,False,False
10:55:00,Baseline,DL_quant,0.94,351.81,,,,0.992,True,False
10:55:00,Baseline,Heuristic,0.16,1.01,0.23,0.004,0.0,,False,False
10:55:00,Baseline,DL_quant,1.28,351.81,,,,0.996,True,False
10:55:00,Baseline,Heuristic,0.1,1.01,0.229,0.004,0.0,,False,False
10:55:00,Baseline,DL_quant,0.92,351.81,,,,0.996,True,False
10:55:00,Baseline,Heuristic,0.17,1.01,0.228,0.004,0.0,,False,False
10:55:00,Baseline,DL_quant,1.16,351.81,,,,0.852,True,False
10:55:00,Baseline,Heuristic,0.11,1.01,0.227,0.004,0.0,,False,False
10:55:00,Baseline,DL_quant,0.85,351.81,,,,0.895,True,False
10:55:00,Baseline,Heuristic,0.1,1.01,0.227,0.004,0.0,,False,False
10:55:00,Baseline,DL_quant,0.78,351.81,,,,0.594,False,False
10:55:00,Baseline,Heuristic,0.15,1.01,0.226,0.004,0.0,,False,False
10:55:00,Baseline,DL_quant,1.35,351.81,,,,0.723,False,False
10:55:00,Baseline,Heuristic,0.1,1.01,0.226,0.004,0.0,,False,False
10:55:00,Baseline,DL_quant,0.74,351.81,,,,0.0,False,False
10:55:00,Baseline,Heuristic,0.27,1.01,0.225,0.004,0.0,,False,False
10:55:00,Baseline,DL_quant,1.66,351.81,,,,0.004,False,False
10:55:00,Baseline,Heuristic,0.22,1.01,0.225,0.004,0.0,,False,False
10:55:00,Baseline,DL_quant,1.75,351.81,,,,0.008,False,False
10:55:00,Baseline,Heuristic,0.14,1.01,0.225,0.004,0.0,,False,False
10:55:00,Baseline,DL_quant,0.91,351.81,,,,0.004,False,False
10:55:00,Baseline,Heuristic,0.1,1.01,0.226,0.004,0.0,,False,False
10:55:00,Baseline,DL_quant,0.76,351.81,,,,0.0,False,False
10:55:00,Baseline,Heuristic,0.28,1.01,0.226,0.004,0.0,,False,False
10:55:00,Baseline,DL_quant,1.87,351.81,,,,0.824,True,False
10:55:01,Baseline,Heuristic,0.11,1.01,0.226,0.004,0.0,,False,False
10:55:01,Baseline,DL_quant,1.01,351.81,,,,0.793,False,False
10:55:01,Baseline,Heuristic,0.1,1.01,0.226,0.004,0.0,,False,False
10:55:01,Baseline,DL_quant,0.89,351.81,,,,0.824,True,False
10:55:01,Baseline,Heuristic,0.1,1.01,0.227,0.004,0.0,,False,False
10:55:01,Baseline,DL_quant,0.79,351.81,,,,0.824,True,False
10:55:01,Baseline,Heuristic,0.09,1.01,0.227,0.004,0.0,,False,False
10:55:01,Baseline,DL_quant,0.77,351.81,,,,0.016,False,False
10:55:01,Baseline,Heuristic,0.1,1.01,0.227,0.004,0.0,,False,False
10:55:01,Baseline,DL_quant,0.78,351.81,,,,0.035,False,False
10:55:01,Baseline,Heuristic,0.11,1.01,0.228,0.004,0.0,,False,False
10:55:01,Baseline,DL_quant,0.84,351.81,,,,0.0,False,False
10:55:01,Baseline,Heuristic,0.1,1.01,0.228,0.004,0.0,,False,False
10:55:01,Baseline,DL_quant,0.8,351.81,,,,0.0,False,False
10:55:01,Baseline,Heuristic,0.11,1.01,0.229,0.004,0.0,,False,False
10:55:01,Baseline,DL_quant,0.93,351.81,,,,0.043,False,False
10:55:01,Baseline,Heuristic,0.14,1.01,0.229,0.004,0.0,,False,False
10:55:01,Baseline,DL_quant,1.06,351.81,,,,0.992,True,False
10:55:01,Baseline,Heuristic,0.12,1.01,0.229,0.004,0.0,,False,False
10:55:01,Baseline,DL_quant,0.88,351.81,,,,0.992,True,False
10:55:01,Baseline,Heuristic,0.1,1.01,0.229,0.004,0.0,,False,False
10:55:01,Baseline,DL_quant,0.8,351.81,,,,0.965,True,False
10:55:01,Baseline,Heuristic,0.1,1.01,0.229,0.004,0.0,,False,False
10:55:01,Baseline,DL_quant,0.75,351.81,,,,0.965,True,False
10:55:01,Baseline,Heuristic,0.15,1.01,0.229,0.004,0.0,,False,False
10:55:01,Baseline,DL_quant,0.88,351.81,,,,0.062,False,False
10:55:01,Baseline,Heuristic,0.15,1.01,0.229,0.004,0.0,,False,False
10:55:01,Baseline,DL_quant,1.17,351.81,,,,0.02,False,False
10:55:01,Baseline,Heuristic,0.1,1.01,0.229,0.004,0.0,,False,False
10:55:01,Baseline,DL_quant,0.79,351.81,,,,0.0,False,False
10:55:01,Baseline,Heuristic,0.1,1.01,0.23,0.004,0.0,,False,False
10:55:01,Baseline,DL_quant,0.76,351.81,,,,0.0,False,False
10:55:01,Baseline,Heuristic,0.1,1.01,0.23,0.004,0.0,,False,False
10:55:01,Baseline,DL_quant,0.78,351.81,,,,0.0,False,False
10:55:01,Baseline,Heuristic,0.1,1.01,0.23,0.004,0.0,,False,False
10:55:01,Baseline,DL_quant,0.9,351.81,,,,0.0,False,False
10:55:01,Baseline,Heuristic,0.1,1.01,0.231,0.004,0.0,,False,False
10:55:01,Baseline,DL_quant,0.91,351.81,,,,0.0,False,False
10:55:01,Baseline,Heuristic,0.17,1.01,0.231,0.004,0.0,,False,False
10:55:01,Baseline,DL_quant,0.9,351.81,,,,0.0,False,False
10:55:01,Baseline,Heuristic,0.2,1.01,0.232,0.004,0.0,,False,False
10:55:01,Baseline,DL_quant,1.03,351.81,,,,0.0,False,False
10:55:01,Baseline,Heuristic,0.21,1.01,0.232,0.004,0.0,,False,False
10:55:01,Baseline,DL_quant,1.34,351.81,,,,0.406,False,False
10:55:01,Baseline,Heuristic,0.1,1.01,0.233,0.004,0.0,,False,False
10:55:01,Baseline,DL_quant,0.78,351.81,,,,0.547,False,False
10:55:01,Baseline,Heuristic,0.1,1.01,0.233,0.004,0.0,,False,False
10:55:01,Baseline,DL_quant,0.76,351.81,,,,0.723,False,False
10:55:01,Baseline,Heuristic,0.1,1.01,0.233,0.004,0.0,,False,False
10:55:01,Baseline,DL_quant,0.8,351.81,,,,0.723,False,False
10:55:01,Baseline,Heuristic,0.1,1.01,0.234,0.004,0.0,,False,False
10:55:01,Baseline,DL_quant,0.77,351.81,,,,0.008,False,False
10:55:01,Baseline,Heuristic,0.11,1.01,0.234,0.004,0.0,,False,False
10:55:01,Baseline,DL_quant,0.91,351.81,,,,0.016,False,False
10:55:01,Baseline,Heuristic,0.1,1.01,0.235,0.004,0.0,,False,False
10:55:01,Baseline,DL_quant,0.77,351.81,,,,0.004,False,False
10:55:01,Baseline,Heuristic,0.1,1.01,0.235,0.004,0.0,,False,False
10:55:01,Baseline,DL_quant,0.75,351.81,,,,0.004,False,False
10:55:01,Baseline,Heuristic,0.1,1.01,0.236,0.004,0.0,,False,False
10:55:01,Baseline,DL_quant,0.77,351.81,,,,0.004,False,False
10:55:02,Baseline,Heuristic,0.15,1.01,0.236,0.004,0.0,,False,False
10:55:02,Baseline,DL_quant,1.08,351.81,,,,0.0,False,False
10:55:02,Baseline,Heuristic,0.1,1.01,0.237,0.004,0.0,,False,False
10:55:02,Baseline,DL_quant,0.78,351.81,,,,0.0,False,False
10:55:02,Baseline,Heuristic,0.11,1.01,0.237,0.004,0.0,,False,False
10:55:02,Baseline,DL_quant,0.89,351.81,,,,0.0,False,False
10:55:02,Baseline,Heuristic,0.1,1.01,0.238,0.004,0.0,,False,False
10:55:02,Baseline,DL_quant,0.78,351.81,,,,0.0,False,False
10:55:02,Baseline,Heuristic,0.1,1.01,0.239,0.004,0.0,,False,False
10:55:02,Baseline,DL_quant,0.78,351.81,,,,0.004,False,False
10:55:02,Baseline,Heuristic,0.16,1.01,0.239,0.004,0.0,,False,False
10:55:02,Baseline,DL_quant,0.98,351.81,,,,0.004,False,False
10:55:02,Baseline,Heuristic,0.12,1.01,0.24,0.004,0.0,,False,False
10:55:02,Baseline,DL_quant,0.97,351.81,,,,0.98,True,False
10:55:02,Baseline,Heuristic,0.32,1.27,0.24,0.004,0.0,,False,False
10:55:02,Baseline,DL_quant,2.02,351.81,,,,0.91,True,False
10:55:02,Baseline,Heuristic,0.09,1.01,0.241,0.004,0.0,,False,False
10:55:02,Baseline,DL_quant,1.27,351.81,,,,0.949,True,False
10:55:02,Baseline,Heuristic,0.11,1.01,0.241,0.004,0.0,,False,False
10:55:02,Baseline,DL_quant,0.85,351.81,,,,0.871,True,False
10:55:02,Baseline,Heuristic,0.1,1.01,0.241,0.004,0.0,,False,False
10:55:02,Baseline,DL_quant,0.76,351.81,,,,0.926,True,False
10:55:02,Baseline,Heuristic,0.1,1.01,0.241,0.004,0.0,,False,False
10:55:02,Baseline,DL_quant,1.02,351.81,,,,0.02,False,False
10:55:02,Baseline,Heuristic,0.1,1.01,0.241,0.004,0.0,,False,False
10:55:02,Baseline,DL_quant,0.77,351.81,,,,0.023,False,False
10:55:02,Baseline,Heuristic,0.12,1.01,0.241,0.004,0.0,,False,False
10:55:02,Baseline,DL_quant,0.97,351.81,,,,0.0,False,False
10:55:02,Baseline,Heuristic,0.1,1.01,0.242,0.004,0.0,,False,False
10:55:02,Baseline,DL_quant,0.79,351.81,,,,0.0,False,False
10:55:02,Baseline,Heuristic,0.11,1.01,0.242,0.004,0.0,,False,False
10:55:02,Baseline,DL_quant,1.03,351.81,,,,0.0,False,False
10:55:02,Baseline,Heuristic,0.21,1.01,0.242,0.004,0.0,,False,False
10:55:02,Baseline,DL_quant,0.82,351.81,,,,0.0,False,False
10:55:02,Baseline,Heuristic,0.1,1.01,0.243,0.004,0.0,,False,False
10:55:02,Baseline,DL_quant,0.84,351.81,,,,0.0,False,False
10:55:02,Baseline,Heuristic,0.14,1.01,0.243,0.004,0.0,,False,False
10:55:02,Baseline,DL_quant,1.04,351.81,,,,0.0,False,False
10:55:02,Baseline,Heuristic,0.13,1.01,0.244,0.004,0.0,,False,False
10:55:02,Baseline,DL_quant,0.96,351.81,,,,0.0,False,False
10:55:02,Baseline,Heuristic,0.17,1.01,0.244,0.004,0.0,,False,False
10:55:02,Baseline,DL_quant,1.3,351.81,,,,0.0,False,False
10:55:02,Baseline,Heuristic,0.1,1.01,0.245,0.004,0.0,,False,False
10:55:02,Baseline,DL_quant,0.8,351.81,,,,0.0,False,False
10:55:02,Baseline,Heuristic,0.09,1.01,0.246,0.004,0.0,,False,False
10:55:02,Baseline,DL_quant,0.86,351.81,,,,0.0,False,False
10:55:02,Baseline,Heuristic,0.11,1.01,0.246,0.004,0.0,,False,False
10:55:02,Baseline,DL_quant,0.84,351.81,,,,0.0,False,False
10:55:02,Baseline,Heuristic,0.1,1.01,0.247,0.004,0.0,,False,False
10:55:02,Baseline,DL_quant,0.76,351.81,,,,0.035,False,False
10:55:02,Baseline,Heuristic,0.1,1.01,0.247,0.004,0.0,,False,False
10:55:02,Baseline,DL_quant,0.79,351.81,,,,0.035,False,False
10:55:02,Baseline,Heuristic,0.11,1.01,0.248,0.004,0.0,,False,False
10:55:02,Baseline,DL_quant,0.92,351.81,,,,0.949,True,False
10:55:02,Baseline,Heuristic,0.1,1.01,0.248,0.004,0.0,,False,False
10:55:02,Baseline,DL_quant,0.76,351.81,,,,0.824,True,False
10:55:02,Baseline,Heuristic,0.1,1.01,0.249,0.004,0.0,,False,False
10:55:02,Baseline,DL_quant,0.75,351.81,,,,0.793,False,False
10:55:02,Baseline,Heuristic,0.1,1.01,0.249,0.004,0.0,,False,False
10:55:02,Baseline,DL_quant,1.04,351.81,,,,0.148,False,False
10:55:02,Baseline,Heuristic,0.16,1.01,0.249,0.004,0.0,,False,False
10:55:02,Baseline,DL_quant,1.22,351.81,,,,0.176,False,False
10:55:03,Baseline,Heuristic,0.11,1.01,0.25,0.004,0.0,,False,False
10:55:03,Baseline,DL_quant,0.89,351.81,,,,0.008,False,False
10:55:03,Baseline,Heuristic,0.3,1.01,0.25,0.004,0.0,,False,False
10:55:03,Baseline,DL_quant,2.54,351.81,,,,0.008,False,False
10:55:03,Baseline,Heuristic,0.1,1.01,0.25,0.004,0.0,,False,False
10:55:03,Baseline,DL_quant,1.15,351.81,,,,0.004,False,False
10:55:03,Baseline,Heuristic,0.14,1.01,0.25,0.004,0.0,,False,False
10:55:03,Baseline,DL_quant,1.05,351.81,,,,0.0,False,False
10:55:03,Baseline,Heuristic,0.1,1.01,0.251,0.004,0.0,,False,False
10:55:03,Baseline,DL_quant,0.77,351.81,,,,0.004,False,False
10:55:03,Baseline,Heuristic,0.11,1.01,0.251,0.004,0.0,,False,False
10:55:03,Baseline,DL_quant,0.85,351.81,,,,0.004,False,False
10:55:03,Baseline,Heuristic,0.11,1.01,0.252,0.004,0.0,,False,False
10:55:03,Baseline,DL_quant,1.03,351.81,,,,0.004,False,False
10:55:03,Baseline,Heuristic,0.16,1.01,0.252,0.004,0.0,,False,False
10:55:03,Baseline,DL_quant,1.15,351.81,,,,0.008,False,False
10:55:03,Baseline,Heuristic,0.11,1.01,0.253,0.004,0.0,,False,False
10:55:03,Baseline,DL_quant,0.84,351.81,,,,0.008,False,False
10:55:03,Baseline,Heuristic,0.16,1.01,0.253,0.004,0.0,,False,False
10:55:03,Baseline,DL_quant,1.17,351.81,,,,0.0,False,False
10:55:03,Baseline,Heuristic,0.1,1.01,0.254,0.004,0.0,,False,False
10:55:03,Baseline,DL_quant,0.83,351.81,,,,0.0,False,False
10:55:03,Baseline,Heuristic,0.1,1.01,0.254,0.004,0.0,,False,False
10:55:03,Baseline,DL_quant,0.8,351.81,,,,0.105,False,False
10:55:03,Baseline,Heuristic,0.1,1.01,0.255,0.004,0.0,,False,False
10:55:03,Baseline,DL_quant,0.79,351.81,,,,0.105,False,False
10:55:03,Baseline,Heuristic,0.28,1.01,0.255,0.004,0.0,,False,False
10:55:03,Baseline,DL_quant,2.14,351.81,,,,0.5,False,False
10:55:03,Baseline,Heuristic,0.11,1.01,0.256,0.004,0.0,,False,False
10:55:03,Baseline,DL_quant,0.89,351.81,,,,0.148,False,False
10:55:03,Baseline,Heuristic,0.14,1.01,0.256,0.004,0.0,,False,False
10:55:03,Baseline,DL_quant,0.98,351.81,,,,0.148,False,False
10:55:03,Baseline,Heuristic,0.09,1.01,0.257,0.004,0.0,,False,False
10:55:03,Baseline,DL_quant,0.74,351.81,,,,0.016,False,False
10:55:03,Baseline,Heuristic,0.12,1.01,0.257,0.004,0.0,,False,False
10:55:03,Baseline,DL_quant,0.92,351.81,,,,0.016,False,False
10:55:03,Baseline,Heuristic,0.1,1.01,0.257,0.004,0.0,,False,False
10:55:03,Baseline,DL_quant,0.74,351.81,,,,0.0,False,False
10:55:03,Baseline,Heuristic,0.14,1.01,0.258,0.004,0.0,,False,False
10:55:03,Baseline,DL_quant,1.02,351.81,,,,0.0,False,False
10:55:03,Baseline,Heuristic,0.15,1.01,0.258,0.004,0.0,,False,False
10:55:03,Baseline,DL_quant,1.15,351.81,,,,0.0,False,False
10:55:03,Baseline,Heuristic,0.09,1.01,0.258,0.004,0.0,,False,False
10:55:03,Baseline,DL_quant,0.74,351.81,,,,0.0,False,False
10:55:03,Baseline,Heuristic,0.16,1.01,0.259,0.004,0.0,,False,False
10:55:03,Baseline,DL_quant,1.03,351.81,,,,0.0,False,False
10:55:03,Baseline,Heuristic,0.14,1.01,0.259,0.004,0.0,,False,False
10:55:03,Baseline,DL_quant,1.08,351.81,,,,0.0,False,False
10:55:03,Baseline,Heuristic,0.11,1.01,0.259,0.004,0.0,,False,False
10:55:03,Baseline,DL_quant,0.89,351.81,,,,0.0,False,False
10:55:03,Baseline,Heuristic,0.14,1.01,0.26,0.004,0.0,,False,False
10:55:03,Baseline,DL_quant,1.1,351.81,,,,0.895,True,False
10:55:03,Baseline,Heuristic,0.1,1.01,0.26,0.004,0.0,,False,False
10:55:03,Baseline,DL_quant,0.78,351.81,,,,0.824,True,False
10:55:03,Baseline,Heuristic,0.14,1.01,0.26,0.004,0.0,,False,False
10:55:03,Baseline,DL_quant,0.9,351.81,,,,0.852,True,False
10:55:03,Baseline,Heuristic,0.14,1.01,0.261,0.004,0.0,,False,False
10:55:03,Baseline,DL_quant,1.1,351.81,,,,0.824,True,False
10:55:03,Baseline,Heuristic,0.1,1.01,0.261,0.004,0.0,,False,False
10:55:03,Baseline,DL_quant,0.78,351.81,,,,0.359,False,False
10:55:04,Baseline,Heuristic,0.1,1.01,0.261,0.004,0.0,,False,False
10:55:04,Baseline,DL_quant,0.81,351.81,,,,0.359,False,False
10:55:04,Baseline,Heuristic,0.16,1.01,0.261,0.004,0.0,,False,False
10:55:04,Baseline,DL_quant,1.21,351.81,,,,0.008,False,False
10:55:04,Baseline,Heuristic,0.16,1.01,0.261,0.004,0.0,,False,False
10:55:04,Baseline,DL_quant,1.19,351.81,,,,0.0,False,False
10:55:04,Baseline,Heuristic,0.1,1.01,0.261,0.004,0.0,,False,False
10:55:04,Baseline,DL_quant,0.76,351.81,,,,0.0,False,False
10:55:04,Baseline,Heuristic,0.12,1.01,0.261,0.004,0.0,,False,False
10:55:04,Baseline,DL_quant,1.17,351.81,,,,0.0,False,False
10:55:04,Baseline,Heuristic,0.13,1.01,0.261,0.004,0.0,,False,False
10:55:04,Baseline,DL_quant,1.02,351.81,,,,0.0,False,False
10:55:04,Baseline,Heuristic,0.1,1.01,0.261,0.004,0.0,,False,False
10:55:04,Baseline,DL_quant,0.87,351.81,,,,0.0,False,False
10:55:04,Baseline,Heuristic,0.1,1.01,0.261,0.004,0.0,,False,False
10:55:04,Baseline,DL_quant,0.77,351.81,,,,0.0,False,False
10:55:04,Baseline,Heuristic,0.09,1.01,0.262,0.004,0.0,,False,False
10:55:04,Baseline,DL_quant,0.75,351.81,,,,0.004,False,False
10:55:04,Baseline,Heuristic,0.09,1.01,0.262,0.004,0.0,,False,False
10:55:04,Baseline,DL_quant,0.77,351.81,,,,0.0,False,False
10:55:04,Baseline,Heuristic,0.1,1.27,0.262,0.004,0.0,,False,False
10:55:04,Baseline,DL_quant,0.76,351.81,,,,0.0,False,False
10:55:04,Baseline,Heuristic,0.29,1.01,0.263,0.004,0.0,,False,False
10:55:04,Baseline,DL_quant,2.08,351.81,,,,0.0,False,False
10:55:04,Baseline,Heuristic,0.1,1.01,0.263,0.004,0.0,,False,False
10:55:04,Baseline,DL_quant,0.74,351.81,,,,0.004,False,False
10:55:04,Baseline,Heuristic,0.1,1.01,0.263,0.004,0.0,,False,False
10:55:04,Baseline,DL_quant,0.82,351.81,,,,0.043,False,False
10:55:04,Baseline,Heuristic,0.31,1.01,0.264,0.004,0.0,,False,False
10:55:04,Baseline,DL_quant,2.58,351.81,,,,0.043,False,False
10:55:04,Baseline,Heuristic,0.13,1.01,0.264,0.004,0.0,,False,False
10:55:04,Baseline,DL_quant,0.82,351.81,,,,0.684,False,False
10:55:04,Baseline,Heuristic,0.28,1.01,0.264,0.004,0.0,,False,False
10:55:04,Baseline,DL_quant,2.15,351.81,,,,0.723,False,False
10:55:04,Baseline,Heuristic,0.13,1.01,0.264,0.004,0.0,,False,False
10:55:04,Baseline,DL_quant,0.84,351.81,,,,0.949,True,False
10:55:04,Baseline,Heuristic,0.12,1.01,0.265,0.004,0.0,,False,False
10:55:04,Baseline,DL_quant,0.88,351.81,,,,0.949,True,False
10:55:04,Baseline,Heuristic,0.1,1.01,0.265,0.004,0.0,,False,False
10:55:04,Baseline,DL_quant,0.76,351.81,,,,0.723,False,False
10:55:04,Baseline,Heuristic,0.1,1.01,0.265,0.004,0.0,,False,False
10:55:04,Baseline,DL_quant,1.02,351.81,,,,0.895,True,False
10:55:04,Baseline,Heuristic,0.12,1.01,0.264,0.004,0.0,,False,False
10:55:04,Baseline,DL_quant,0.83,351.81,,,,0.035,False,False
10:55:04,Baseline,Heuristic,0.1,1.01,0.264,0.004,0.0,,False,False
10:55:04,Baseline,DL_quant,0.9,351.81,,,,0.0,False,False
10:55:04,Baseline,Heuristic,0.11,1.01,0.264,0.004,0.0,,False,False
10:55:04,Baseline,DL_quant,1.02,351.81,,,,0.0,False,False
10:55:04,Baseline,Heuristic,0.1,1.01,0.264,0.004,0.0,,False,False
10:55:04,Baseline,DL_quant,1.0,351.81,,,,0.0,False,False
10:55:04,Baseline,Heuristic,0.11,1.01,0.265,0.004,0.0,,False,False
10:55:04,Baseline,DL_quant,0.88,351.81,,,,0.0,False,False
10:55:04,Baseline,Heuristic,0.1,1.01,0.265,0.004,0.0,,False,False
10:55:04,Baseline,DL_quant,0.85,351.81,,,,0.0,False,False
10:55:04,Baseline,Heuristic,0.1,1.01,0.265,0.004,0.0,,False,False
10:55:04,Baseline,DL_quant,0.8,351.81,,,,0.0,False,False
